               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025817,            0.011669,                   0,             0.98691,                   1,               0.995,             0.82152,            0.018702,           0.0042181,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.025622,             0.01178,                   0,             0.98703,                   1,               0.995,             0.80284,            0.018944,           0.0041698,                   0,            0.070289,           0.0032891,           0.0032891
                   2,            0.030449,            0.013326,                   0,             0.98733,                   1,               0.995,             0.62256,            0.031793,           0.0044528,                   0,            0.054967,            0.004967,            0.004967
                   3,            0.036054,            0.013801,                   0,             0.98667,                   1,               0.995,             0.69281,            0.019014,           0.0046228,                   0,            0.039634,           0.0066337,           0.0066337
                   4,            0.035897,            0.012339,                   0,             0.98541,                   1,               0.995,             0.44793,            0.038398,           0.0045378,                   0,            0.024289,           0.0082891,           0.0082891
                   5,            0.039966,            0.013498,                   0,              0.9065,                   1,               0.995,             0.36513,            0.042374,           0.0050069,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.040311,            0.012999,                   0,             0.79547,                   1,               0.995,             0.70618,            0.024676,           0.0046971,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.041553,            0.014216,                   0,             0.98046,                   1,               0.995,             0.50289,            0.029717,           0.0047872,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.040742,             0.01309,                   0,             0.66194,                   1,               0.895,             0.38167,            0.036977,           0.0048901,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.040261,            0.012646,                   0,             0.97903,                   1,               0.995,             0.57179,            0.030831,            0.005093,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044599,            0.014504,                   0,             0.78336,                   1,               0.895,             0.72602,            0.031706,           0.0048193,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.040703,            0.014817,                   0,              0.9753,                   1,               0.995,             0.47616,            0.038299,           0.0052068,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.040503,              0.0124,                   0,              0.9833,                   1,               0.995,             0.44991,            0.043527,           0.0051773,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.038552,            0.013169,                   0,             0.97645,                   1,               0.995,             0.48538,            0.040166,           0.0053611,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.040076,              0.0135,                   0,             0.98401,                   1,               0.995,             0.52723,            0.038868,            0.005156,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.03941,            0.014084,                   0,             0.98369,                   1,               0.995,             0.50404,            0.037669,           0.0048871,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.037854,            0.013421,                   0,             0.94462,                   1,               0.995,             0.54156,            0.033203,           0.0049806,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.040456,            0.012574,                   0,             0.58382,                   1,               0.895,             0.60476,            0.032514,           0.0048871,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.040792,            0.013338,                   0,             0.77934,                   1,               0.945,             0.58971,            0.027859,           0.0051434,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035216,            0.013421,                   0,             0.78522,                   1,               0.945,             0.48398,             0.03289,           0.0050737,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.037483,            0.013528,                   0,             0.98352,                   1,               0.995,             0.49606,            0.035025,            0.005146,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.037603,            0.011459,                   0,             0.98354,                   1,               0.995,             0.43721,            0.035559,           0.0050912,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.036026,            0.013639,                   0,             0.98399,                   1,               0.995,              0.7282,            0.026449,           0.0050966,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.036042,            0.012147,                   0,             0.97305,                   1,               0.995,             0.68491,            0.032123,           0.0048139,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.032531,             0.01202,                   0,             0.77639,             0.88195,               0.945,              0.6808,            0.026935,           0.0048934,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.03726,            0.012462,                   0,              0.9759,                   1,               0.995,             0.70943,            0.030356,           0.0051855,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.035497,            0.013365,                   0,             0.98016,                   1,               0.995,              0.6599,            0.030539,           0.0051352,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.03445,            0.012462,                   0,             0.97961,                   1,               0.995,             0.66059,            0.032567,           0.0052708,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.034672,            0.012535,                   0,             0.98236,                   1,               0.995,             0.48029,            0.039216,           0.0056439,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.036206,            0.012791,                   0,             0.98062,                   1,               0.995,             0.64772,            0.037228,           0.0055297,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.03578,            0.011955,                   0,             0.98261,                   1,               0.995,             0.56749,            0.036386,           0.0056005,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.031185,            0.012668,                   0,             0.98296,                   1,               0.995,             0.60393,            0.033892,            0.005925,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.03329,            0.012696,                   0,              0.9819,                   1,               0.995,             0.58622,            0.030656,           0.0051267,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.033287,            0.011685,                   0,             0.98541,                   1,               0.995,               0.661,            0.026268,           0.0055219,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.032395,            0.011933,                   0,             0.98479,                   1,               0.995,               0.796,            0.022588,           0.0051515,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.033718,            0.012958,                   0,             0.98496,                   1,               0.995,             0.69621,             0.02427,           0.0053607,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.032177,            0.010791,                   0,              0.9854,                   1,               0.995,             0.76775,            0.021227,           0.0048285,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.031507,            0.011449,                   0,             0.98433,                   1,               0.995,             0.74668,            0.021611,           0.0054654,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031043,            0.011817,                   0,             0.98469,                   1,               0.995,              0.7385,            0.022786,           0.0053938,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.033163,            0.011794,                   0,             0.97999,                   1,               0.995,             0.65335,            0.025612,           0.0050663,                   0,            0.008746,            0.008746,            0.008746
