               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023469,            0.012235,                   0,             0.96382,                   1,             0.98914,             0.68737,            0.023344,           0.0067663,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.023405,            0.012149,                   0,              0.9632,                   1,             0.98293,             0.71775,            0.021407,           0.0065589,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02222,            0.012277,                   0,             0.93038,                   1,             0.98657,             0.71231,            0.019048,           0.0064547,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.023318,            0.012072,                   0,             0.96379,                   1,             0.98155,             0.74742,            0.019758,           0.0073853,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.022955,            0.012538,                   0,             0.96245,                   1,             0.98638,              0.7277,            0.019143,           0.0073105,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.023377,            0.012703,                   0,             0.96128,                   1,             0.98638,              0.7432,            0.018641,           0.0066548,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02154,            0.012486,                   0,             0.96387,                   1,             0.98914,             0.71242,            0.021909,           0.0072511,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.023122,            0.011035,                   0,             0.96543,             0.99742,             0.99155,             0.71126,            0.022441,           0.0074774,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.021735,            0.011084,                   0,             0.96179,             0.96429,             0.98907,             0.70946,            0.021236,           0.0075963,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.024387,            0.011433,                   0,             0.96366,                   1,             0.98397,             0.69055,            0.021761,           0.0072228,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.024103,            0.011593,                   0,              0.9649,                   1,             0.99155,              0.7142,            0.019728,           0.0074858,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.021444,            0.011597,                   0,             0.96293,                   1,             0.98914,             0.68978,              0.0196,           0.0069219,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.021818,            0.011214,                   0,             0.96302,                   1,             0.98638,             0.68952,            0.018864,           0.0066356,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.022196,            0.011846,                   0,             0.96336,                   1,             0.97293,             0.69781,            0.020545,           0.0066417,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.019888,            0.010924,                   0,             0.96351,                   1,             0.97052,             0.71296,            0.018687,           0.0067481,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.020069,            0.010998,                   0,             0.96257,                   1,             0.98534,             0.72887,            0.019441,           0.0064354,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.021818,            0.012027,                   0,             0.96539,             0.99645,             0.98914,             0.69374,            0.018655,           0.0065077,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.021412,            0.011587,                   0,             0.96316,                   1,             0.97534,             0.72216,            0.018959,           0.0062549,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.021688,            0.011294,                   0,             0.96348,                   1,             0.97431,             0.68904,            0.021677,           0.0065936,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.020272,            0.012332,                   0,             0.96341,                   1,             0.97776,             0.70698,            0.020239,           0.0061596,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.020809,            0.010926,                   0,             0.96331,                   1,             0.97914,             0.70854,            0.019283,           0.0069035,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020062,            0.010947,                   0,             0.96348,                   1,             0.97914,             0.72012,            0.017723,           0.0062918,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.019292,             0.01032,                   0,             0.96509,                   1,             0.96569,             0.69466,            0.019163,           0.0065382,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.020101,            0.011039,                   0,             0.96405,                   1,             0.98052,             0.72825,             0.01866,            0.006673,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.018873,            0.010152,                   0,             0.96337,                   1,             0.97534,             0.71706,             0.01924,           0.0062327,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.020529,            0.010813,                   0,             0.96333,                   1,             0.99155,             0.72682,            0.019773,           0.0062636,                   0,            0.007921,            0.007921,            0.007921
                  65,               0.021,            0.010873,                   0,             0.96274,                   1,             0.98534,             0.70227,            0.020225,           0.0063525,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.018895,            0.010307,                   0,             0.96206,                   1,              0.9719,             0.68888,            0.019479,           0.0065178,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.020115,            0.011272,                   0,             0.96226,                   1,             0.98397,             0.68585,             0.02049,           0.0071169,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.020847,            0.011471,                   0,             0.96283,                   1,             0.98293,             0.69349,            0.018368,           0.0069687,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.019702,            0.011743,                   0,             0.96435,                   1,             0.97776,             0.69992,            0.018029,           0.0069444,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.019213,            0.010632,                   0,             0.96551,             0.99969,              0.9681,              0.6777,            0.018922,           0.0065183,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.019742,            0.010766,                   0,             0.96503,                   1,              0.9719,             0.66475,            0.022292,           0.0066706,                   0,             0.00769,             0.00769,             0.00769
